OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,GLOBALID,YR2016_PM,YR2017_PM,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
668,111,Font Blvd & Lake Merced Blvd,,37.72416,"122° 29' 6.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.485 37.72416),03/06/2020 01:13:04 PM,,Lakeshore,7,16,42,42,10,8
634,78,Geary Blvd & Park Presidio Blvd,,37.780719999999995,"122° 28' 19.200"" W",-1,-1,-1,-1,-1,-1,4,4,38,0,,-1,-1,POINT (-122.472 37.78072),03/06/2020 01:20:16 PM,,Inner Richmond,1,11,5,5,8,4
627,71,Hunters Point Blvd & Innes Ave,,37.73274,"122° 22' 37.200"" W",-1,-1,-1,-1,-1,-1,5,5,14,-1,,-1,-1,POINT (-122.377 37.73274),03/06/2020 01:12:20 PM,,Bayview Hunters Point,10,1,76,76,2,9
638,82,Van Ness Ave & Sutter St,,37.78753,"122° 25' 19.200"" W",-1,-1,-1,-1,-1,-1,80,80,91,-1,,-1,-1,POINT (-122.422 37.78753),03/06/2020 01:12:32 PM,,Western Addition,2,39,100,100,4,6
578,10,Scott St & Fell St,,37.77427,"122° 26' 9.600"" W",37,74,95,113,32,168,240,240,108,133,,145,163,POINT (-122.436 37.77427),03/06/2020 01:19:12 PM,,Hayes Valley,5,9,23,23,4,11
441,13,5th/Cyril Magnin St & Market St,,37.784,"122° 24' 28.800"" W",1002,1068,1187,1407,1615,2110,1438,1438,1449,-1,,1471,1250,POINT (-122.408 37.784),03/06/2020 01:11:11 PM,,South of Market,6,34,32,32,5,10
583,27,Winston Dr & Lake Merced Blvd,,37.727000000000004,"122° 29' 2.400"" W",29,44,47,57,42,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.484 37.727),03/06/2020 01:11:35 PM,,Lakeshore,7,16,43,43,10,8
643,87,Bayshore Blvd & Oakdale Ave,,37.74305,"122° 24' 18.000"" W",-1,-1,-1,-1,-1,-1,52,52,61,-1,,-1,-1,POINT (-122.405 37.74305),03/06/2020 01:12:38 PM,,Bayview Hunters Point,10,1,85,85,2,9
584,28,Transverse Dr & John F Kennedy Dr,,37.770489999999995,"122° 28' 48.000"" W",300,186,270,410,191,-1,402,402,378,-1,,-1,-1,POINT (-122.48 37.77049),03/06/2020 01:11:36 PM,,Golden Gate Park,1,12,9,9,8,4
664,107,Broadway & Sansome St,,37.798449999999995,"122° 24' 7.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.402 37.79845),03/06/2020 01:13:00 PM,,Financial District/South Beach,3,8,106,106,6,3
